category,variable,label,units,type
visit_flow_sheet_notes,vf_blood_drop_team_redraw,Redraw Drop-off research bloodwork - Team Member,,String
visit_flow_sheet_notes,np_complete,Did participant complete NP?,,String
visit_flow_sheet_notes,vf_np_date_time,Neuropsychological Assessment - Date & Time,,Datetime
visit_flow_sheet_notes,vf_np_location,Neuropsychological Assessment - Location,,String
visit_flow_sheet_notes,vf_np_team,Neuropsychological Assessment - Team Member,,String
visit_flow_sheet_notes,np_notes,NP Assessment - examiner notes,,
visit_flow_sheet_notes,vf_lunch_date_time,Lunch - Date & Time,,Datetime
visit_flow_sheet_notes,vf_lunch_location,Lunch - Location,,String
visit_flow_sheet_notes,vf_lunch_team,Lunch - Team Member,,String
visit_flow_sheet_notes,vf_echo_date_time,Echo & EKG - Date & Time,,Datetime
visit_flow_sheet_notes,vf_echo_location,Echo & EKG - Location,,String
visit_flow_sheet_notes,vf_echo_team,Echo & EKG - Team Member,,String
visit_flow_sheet_notes,vf_brain_mri_date_time,Brain MRI - Date & Time,,Datetime
visit_flow_sheet_notes,vf_brain_mri_location,Brain MRI - Location,,String
visit_flow_sheet_notes,vf_brain_mri_team,Brain MRI - Team Member,,String
visit_flow_sheet_notes,vf_wrapup_date_time,Study Wrap-Up - Date & Time,,Datetime
visit_flow_sheet_notes,vf_wrapup_location,Study Wrap-Up - Location,,String
visit_flow_sheet_notes,vf_wrapup_team,Study Wrap-Up - Team Member,,String
visit_flow_sheet_notes,visit_flow,Visit Observations & Notes,,
visit_flow_sheet_notes,chart_flags,Are there flags?,,String
visit_flow_sheet_notes,chart_flags_staff,Staff Flags,,String
visit_flow_sheet_notes,chart_finalization,Chart Finalized,,String
visit_flow_sheet_notes,chart_finalization_team,Chart Finalization - Team Member,,String
visit_flow_sheet_notes,chart_finalization_date_time,Chart Finalized - Date & Time,,Datetime
visit_flow_sheet_notes,chart_merge,Chart Merged,,String
visit_flow_sheet_notes,chart_merge_team,Chart Merged - Team Member,,String
visit_flow_sheet_notes,chart_merge_date_time,Chart Merged - Date & Time,,Datetime
consent_checklist,consent_consenter,Consenter,,String
consent_checklist,consent_date,Date,,Datetime
consent_checklist,consent_received,Received consent prior to visit?,,String
consent_checklist,consent_received_notes,"If no, please explain",,
consent_checklist,consent_received_where,Received consent in mailing or at visit?,,String
consent_checklist,consent_review,Given opportunity to review consent prior to visit?,,String
consent_checklist,consent_review_notes,"If no, please explain",,
consent_checklist,consent_capacity,Decisional capacity assessed?,,String
consent_checklist,consent_capacity_notes,"If no, please explain",,
consent_checklist,consent_capacity_decision,Did participant have capacity?,,String
consent_checklist,consent_capacity_no_text,"The participant was determined to not have capacity to consent to the study. Please complete the following items to indicate reason(s) and person providing consent. The following information serves as documentation of the study partner acting as the consenting party.",,
consent_checklist,consent_cap_reason,The consenter determined that the participant lacked decisional capacity and was unable to consent to the research study because of the following reason(s):,,String
consent_checklist,consent_cap_reason_oth,"If other, please explain",,
consent_checklist,consent_cap_who,"Did the study partner, whom the participant designated, consent on the participant's behalf?",,String
consent_checklist,consent_who_other,Who provided consent?,,
consent_checklist,consent_cap_asssent,Did the participant assent?,,String
consent_checklist,consent_cap_assent_notes,"If no, please explain",,
consent_checklist,consent_partner,Were the optional items marked and initialed by the study partner?,,String
consent_checklist,consent_partner_notes,"If no, please explain",,
consent_checklist,consent_partner2,"Did the study partner sign as the study partner, for genetic testing, and as the health care decision maker/surrogate?",,String
consent_checklist,consent_partner2_notes,"If no, please explain",,
consent_checklist,consent_witness,"Individual who signed as witness, indicating that they were present during the consent process:",,
consent_checklist,consent_cap_notes,Other notes regarding participant capacity:,,
consent_checklist,consent_discuss,"Discussed purpose of research and procedures, risks and benefits to study participation, voluntary nature of participation, issues of confidentiality, and study associated costs?",,String
consent_checklist,consent_discuss_notes,"If no, please explain",,
consent_checklist,consent_question,Participant given opportunity to ask questions prior to study participation?,,String
consent_checklist,consent_question_notes,"If no, please explain",,
consent_checklist,consent_sign,Consent was signed and dated by participant prior to study procedures?,,String
consent_checklist,consent_sign_notes,"If no, please explain",,
consent_checklist,consent_names,Indicate all the individuals present during the informed consent discussion:,,String
consent_checklist,consent_names_other,"If other, list who was present:",,
consent_checklist,consent_loc,Location of informed consent discussion:,,String
consent_checklist,consent_copy,A copy of the signed consent form was given to the participant?,,String
consent_checklist,consent_copy_notes,"If no, please explain",,
consent_checklist,consent_copy_date,Date copy of consent given to participant:,,Datetime
consent_checklist,consent_copy_who,Who gave copy of consent?,,String
consent_checklist,consent_copy_how,How was copy of consent given to participant?,,String
consent_checklist,consent_finalized,REDCap consent documentation finalized?,,String
consent_checklist,consent_finalized_notes,"If no, please explain",,
consent_checklist,consent_finalized_date,Date,,Datetime
consent_checklist,consent_stored,Finalized document stored in consent binders?,,String
consent_checklist,consent_stored_notes,"If no, please explain",,
consent_checklist,consent_stored_date,Date,,Datetime
consent_checklist,consent_notes,General Notes,,
consent_checklist,consent_lp,Did participant consent to LP?,,String
consent_checklist,consent_lp_inelig,Was participant ineligible for LP?,,String
consent_checklist,consent_lp_notes,"Please explain why participant was ineligible for LP (e.g., blood thinners)",,
ivp_a1_subject_demographics,instructions_a1,"INSTRUCTIONS: <i>This form is to be completed by intake interviewer based on ADC scheduling records, subject interview, medical records, and proxy co-participant report (as needed). For additional clarification and examples, see UDS Coding Guidebook for Initial Visit Packet, Form A1. Check only <u>one</u> box per question.<i>Link to    <a href=""http://www.alz.washington.edu/NONMEMBER/UDS/DOCS/VER3/UDS3_ivp_guidebook.pdf"" target=""_blank""> NACC Coding Guidebook </a>",,
ivp_a1_subject_demographics,a1_table,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 36px;"" border=""1""> <tbody> <tr style=""height: 18px;""> <td style=""width: 31.6832%; height: 18px;"">ACD Subject ID {a1_ptid}</td> <td style=""width: 31.6832%; height: 18px;"">ADC Visit # {a1_visitnum}</td> <td style=""width: 31.8246%; height: 18px;"">Form Version {a1_formver}</td> </tr> <tr style=""height: 18px;""> <td style=""width: 31.6832%; height: 18px;"">Form Date- Month {a1_visitmo}</td> <td style=""width: 31.6832%; height: 18px;"">Form Date- Day {a1_visitday}</td> <td style=""width: 31.8246%; height: 18px;"">Form Date- Year {a1_visityr}</td> </tr> <tr> <td style=""width: 31.6832%;"">Examiner Initials (xxx) {a1_initials}</td> <td style=""width: 31.6832%;""> </td> <td style=""width: 31.8246%;""> </td> </tr> </tbody> </table></div>",,
ivp_a1_subject_demographics,a1_ptid,ADC Subject ID,,
ivp_a1_subject_demographics,a1_visitnum,ADC Visit #,,
ivp_a1_subject_demographics,a1_formver,Form Version,,String
ivp_a1_subject_demographics,a1_visitmo,Form date - month,,String
ivp_a1_subject_demographics,a1_visitday,Form date - day,,String
ivp_a1_subject_demographics,a1_visityr,Form date - year,,Datetime
ivp_a1_subject_demographics,a1_initials,Examiner's initials (xxx),,
ivp_a1_subject_demographics,reason,1. Primary reason for coming to ADC:,,String
ivp_a1_subject_demographics,refersc,"2a. Principal referral source:(if answer is 1 or 2, CONTINUE TO QUESTION 2B; otherwise, SKIP TO QUESTION 3.)",,String
ivp_a1_subject_demographics,learned,"2b.  If the referral source was self-referral or a non-professional contact, how did the referral source learn of the ADC?",,String
ivp_a1_subject_demographics,prestat,3. Presumed disease status at enrollment:,,String
ivp_a1_subject_demographics,prespart,4. Presumed participation:,,String
ivp_a1_subject_demographics,source,5. ADC enrollment type:,,String
ivp_a1_subject_demographics,a1_table2,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 48.3734%;"">Month of Birth {birthmo}</td> <td style=""width: 48.3734%;"">Year of Birth {birthyr}</td> </tr> <tr> <td style=""width: 48.3734%;"">Sex {sex}</td> <td style=""width: 48.3734%;""> </td> </tr> </tbody> </table></div>",,
ivp_a1_subject_demographics,birthmo,6a. Subject's month of birth,,String
ivp_a1_subject_demographics,birthyr,6b. Subject's year of birth,,Datetime
ivp_a1_subject_demographics,sex,7. Subject's sex:,,String
ivp_a1_subject_demographics,a1_table3,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 31.7296%;"">Hispanic/Latino ethnicity {hispanic}</td> <td style=""width: 31.7296%;"">Hispanic Origins {hispor}</td> <td style=""width: 31.7318%;""> </td> </tr> <tr> <td style=""width: 31.7296%;"">Race {race}</td> <td style=""width: 31.7296%;"">Additional Race {racesec}</td> <td style=""width: 31.7318%;"">Third Race {raceter}</td> </tr> <tr> <td style=""width: 31.7296%;"">Other race {racex}</td> <td style=""width: 31.7296%;"">Additional Race- Other {racesecx}</td> <td style=""width: 31.7318%;"">Third Race- Other {raceterx}</td> </tr> <tr> <td style=""width: 31.7296%;"">Primary Language {primlang}</td> <td style=""width: 31.7296%;"">Other language {primlanx}</td> <td style=""width: 31.7318%;""> </td> </tr> </tbody> </table></div>",,
ivp_a1_subject_demographics,hispanic,"8. Does the subject report being of Hispanic/Latino <u>ethnicity</u> (i.e. having origins from a mainly Spanish-speaking Latin American country), regardless of race?",,String
ivp_a1_subject_demographics,hispor,"8a. If yes, what are the subject's reported origins?",,String
ivp_a1_subject_demographics,hisporx,8a1. Other (specify subjects reported origins):,,
ivp_a1_subject_demographics,race,9. What does subject report as his or her race?,,String
ivp_a1_subject_demographics,racex,9a. Other (specify subjects race):,,
ivp_a1_subject_demographics,racesec,10. What additional race does subject report?,,String
ivp_a1_subject_demographics,racesecx,10a. Other (specify subject's additional race):,,
ivp_a1_subject_demographics,raceter,"11. What additional race, beyond what was indicated above in questions 9 and 10, does subject report?",,String
ivp_a1_subject_demographics,raceterx,11a. Other (specify subject's additonal race beyond questions 9 and 10):,,
ivp_a1_subject_demographics,primlang,12. Subject's primary language:,,String
ivp_a1_subject_demographics,primlanx,12a. Other (specify subject's primary language):,,
ivp_a1_subject_demographics,educ,"13. Subject's years of education - (use the codes below to report the level achieved; if an attempted level is not completed, enter the number of years completed).12 = High school or GED, 16 = Bachelor's degree, 18 = Master's degree; 20 = Doctorate, 99 = Unknown",,String
ivp_a1_subject_demographics,maristat,14. Subject's <u> current </u> marital status:,,String
ivp_a1_subject_demographics,livsitua,15. What is the subject's living situation?,,String
ivp_a1_subject_demographics,independ,16. What is the subject's level of independence?,,String
ivp_a1_subject_demographics,residenc,17. What is the subject's primary type of residence?,,String
ivp_a1_subject_demographics,zip,18. ZIP Code (first three digits) of subject's primary residence:,,
ivp_a1_subject_demographics,handed,"19. Is the subject left- or right- handed <i>(for example, which hand would s/he normally use to write or throw a ball)?</i>",,String
ivp_a1_subject_demographics,copyright_a1,"<font color=blue> Adapted with permission. Copyright &#169 2006, 2008, 2015 University of Washington. Created and published by the ADC Clinical Task Force (John C. Morris, MD, Chair) and the National Alzheimer's Coordinating Center (U01 AG016976 - Walter A. Kukull, PhD, Director).  All rights reserved.</font color=blue>",,
ivp_a1_subject_demographics,footer_a1,"National Alzheimer's Coordinating Center | (206) 543-8637 | fax: (206) 616-5927 | naccmail@uw.edu | www.alz.washington.edu <br><b>UDS (V3.0, March 2015) Initial Visit <font color=red>Form A1: Subject Demographics </font color=red></b>",,
ivp_a3_family_history,instructions_a3,"<i>INSTRUCTIONS: This form is to be completed by a clinician with experience in evaluating patients with neurological problems and psychiatric conditions. For additional clarification and examples, see UDS Coding Guidebook for Initial Visit Packet, Form A3.<i>Link to    <a href=""http://www.alz.washington.edu/NONMEMBER/UDS/DOCS/VER3/UDS3_ivp_guidebook.pdf"" target=""_blank""> NACC Coding Guidebook </a>",,
ivp_a3_family_history,a3_table,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 36px;"" border=""1""> <tbody> <tr style=""height: 18px;""> <td style=""width: 31.6832%; height: 18px;"">ACD Subject ID {a3_ptid}</td> <td style=""width: 31.6832%; height: 18px;"">ADC Visit # {a3_visitnum}</td> <td style=""width: 31.8246%; height: 18px;"">Form Version {a3_formver}</td> </tr> <tr style=""height: 18px;""> <td style=""width: 31.6832%; height: 18px;"">Form Date- Month {a3_visitmo}</td> <td style=""width: 31.6832%; height: 18px;"">Form Date- Day {a3_visitday}</td> <td style=""width: 31.8246%; height: 18px;"">Form Date- Year {a3_visityr}</td> </tr> <tr> <td style=""width: 31.6832%;"">Examiner Initials (xxx) {a3_initials}</td> <td style=""width: 31.6832%;"">Visit Date {a3_date}</td> <td style=""width: 31.8246%;""> </td> </tr> </tbody> </table> <p> </p></div>",,
ivp_a3_family_history,a3_ptid,ADC Subject ID,,
ivp_a3_family_history,a3_visitnum,ADC Visit #,,
ivp_a3_family_history,a3_formver,Form Version,,String
ivp_a3_family_history,a3_date,Visit Date,,Datetime
ivp_a3_family_history,a3_visitmo,Form date - month,,String
ivp_a3_family_history,a3_visitday,Form date - day,,String
ivp_a3_family_history,a3_visityr,Form date - year,,Datetime
ivp_a3_family_history,a3_initials,Examiner's initials (xxx),,
ivp_a3_family_history,afffamm,"1. Are there affected first-degree relatives (biological parents, full siblings, or biological children)?  ""Affected"" = having dementia or one of the non-normal diagnoses listed in Appendix 1 on page 5",,String
ivp_a3_family_history,fadmut,"2a. In this family, is there evidence for an AD mutation? If Yes, select predominant mutation.NOTE: APOE Should not be reported here.",,String
ivp_a3_family_history,fadmutx,2a1. Other (specify predominant AD mutation in this family):,,
ivp_a3_family_history,fadmuso,2b. Source of evidence for AD mutation (check one):,,String
ivp_a3_family_history,fadmusox,2b1. Other (specify the other source of evidence -AD mutation in this family),,
ivp_a3_family_history,fftdmut,"3a. In this family, is there evidence for an FTLD mutation? If Yes, select predominant mutation.",,String
ivp_a3_family_history,fftdmutx,3a1. Other (specify the predominant FTLD mutation in this family),,
ivp_a3_family_history,fftdmuso,3b. Source of evidence for FTLD mutation (check one):,,String
ivp_a3_family_history,fftdmusx,3b1.  Other (Specify the other source of evidence -FTLD mutation in this family),,
ivp_a3_family_history,fothmut,"4a. In this family, is there evidence for a mutation other than an AD or FTLD mutation?  (If No or Unknown, <b>SKIP TO QUESTION 5a</b>)",,String
ivp_a3_family_history,fothmutx,4a1. Other (specify the other mutation in this family),,
ivp_a3_family_history,fothmuso,4b. Source of evidence for other mutation (check one):,,String
ivp_a3_family_history,fothmusx,4b1.  Other (Specify the other source of evidence -  other mutation in this family),,
ivp_a3_family_history,note_a3_1,"Provide information on biological parents below. If birth year is unknown, please provide an approximate year on the Initial Visit Form A3 and ensure that it is consistently reported on any Follow-up Visit Form A3, as applicable. If it is impossible for the subject and co-participant to estimate the birth year, enter <i>9999=Unknown</i>.For any biological parent with a neurological or psychiatric condition, the entire row must be filled out. If the clinician cannot determine the primary neurological problem/psychiatric condition after reviewing all available evidence, enter <i>9=Unknown</i> in the <b>Primary neurological problem/psychiatric condition</b> column, and then skip the subsequent questions in the row. For a biological parent with no neurological or psychiatric problem, enter <i>8=N/A - no neurological problem or psychiatric condition</i> in the <b>Primary neurological problem/psychiatric condition</b> column, and then skip the subsequent questions in the row.pdf below contains codes for Method of Evaluation",,
ivp_a3_family_history,mommob,5a1. Mother - Birth month,,String
ivp_a3_family_history,momyob,5a2. Mother - Birth Year,,Datetime
ivp_a3_family_history,momdage,5a3. Mother - Age at death,,String
ivp_a3_family_history,momneur,5a4. Mother - Primary neurological problem/psychiatric condition*,,String
ivp_a3_family_history,momprdx,5a5. Mother - Primary Dx**,,String
ivp_a3_family_history,mommoe,5a6. Mother - Method of evaluation***,,String
ivp_a3_family_history,momageo,5a7. Mother - Age of onset,,String
ivp_a3_family_history,dadmob,5b1. Father - Birth month,,String
ivp_a3_family_history,dadyob,5b2. Father - Birth year,,Datetime
ivp_a3_family_history,daddage,5b3. Father - Age at death,,String
ivp_a3_family_history,dadneur,5b4. Father - Primary neurological problem/psychiatric condition*,,String
ivp_a3_family_history,dadprdx,5b5. Father - Primary Dx**,,String
ivp_a3_family_history,dadmoe,5b6. Father - Method of evaluation***,,String
ivp_a3_family_history,dadageo,5b7. Father - Age of onset,,String
ivp_a3_family_history,note_a3_2,"<b>Year of birth for full siblings and biological children:</b> If birth year is unknown, please provide an approximate year on UDS Initial Visit Form A3 and UDS Follow-up Visit Form A3 so that the sibling/child with unknown birth year ends up in correct birth order relative to the other siblings/children.<i>Example: A subject is the oldest of three children. The subject was born in 1940 and the middle sibling in 1943; the youngest sibling's birth year is unknown. An approximate birth year of 1944 or later should be assigned to the youngest sibling.</i>Use that same birth year on FTLD Module Form A3a, if applicable, and across all UDS visits so that any new information on a particular sibling or child can be linked to previously submitted information. If it is impossible for the subject and co-participant to estimate year of birth, enter <i>9999=Unknown</i>.",,
ivp_a3_family_history,sibs,6. How many full siblings does the subject have?,,String
ivp_a3_family_history,note_a3_3,"If subject has no full siblings, <b> SKIP TO QUESTION 7</b>; otherwise provide information on all full siblings below.<br><br>For any full sibling with a neurological or psychiatric condition, the entire row must be filled out. If the clinician cannot determine the primary neurological problem/psychiatric condition after reviewing all avilable evidence, enter <i>9=Unknown</i> in the <b>Primary neurological problem/psychiatric condition</b> column, and then skip the subsequent questions in the row. For a siblng with no neurological or psychiatric problem, enter <i>8=N/A - no neurological problem or psychiatric condition</i> in the <b>Primary neurological problem/psychiatric condition</b> column, and then skip the subsequent questions in the row.",,
ivp_a3_family_history,note_a3_4,<hr>Sibling 1,,
ivp_a3_family_history,sib1mob,6a1. Sibling 1 - Birth month,,String
ivp_a3_family_history,sib1yob,6a2. Sibling 1 - Birth Year,,Datetime
ivp_a3_family_history,sib1agd,6a3. Sibling 1 - Age at death,,String
ivp_a3_family_history,sib1neu,6a4. Sibling 1 - Primary neurological problem/psychiatric condition*,,String
ivp_a3_family_history,sib1pdx,6a5. Sibling 1 - Primary Dx**,,String
ivp_a3_family_history,sib1moe,6a6. Sibling 1 - Method of evaluation***,,String
ivp_a3_family_history,sib1ago,6a7. Sibling 1 - Age of onset,,String
ivp_a3_family_history,note_a3_5,<hr>Sibling 2,,
ivp_a3_family_history,sib2mob,6b1. Sibling 2 - Birth month,,String
ivp_a3_family_history,sib2yob,6b2. Sibling 2 - Birth Year,,Datetime
ivp_a3_family_history,sib2agd,6b3. Sibling 2 - Age at death,,String
ivp_a3_family_history,sib2neu,6b4. Sibling 2 - Primary neurological problem/psychiatric condition*,,String
ivp_a3_family_history,sib2pdx,6b5. Sibling 2 - Primary Dx**,,String
ivp_a3_family_history,sib2moe,6b6. Sibling 2 - Method of evaluation***,,String
ivp_a3_family_history,sib2ago,6b7. Sibling 2 - Age of onset,,String
ivp_a3_family_history,note_a3_6,<hr>Sibling 3,,
ivp_a3_family_history,sib3mob,6c1. Sibling 3 - Birth month,,String
ivp_a3_family_history,sib3yob,6c2. Sibling 3 - Birth Year,,Datetime
ivp_a3_family_history,sib3agd,6c3. Sibling 3 - Age at death,,String
ivp_a3_family_history,sib3neu,6c4. Sibling 3 - Primary neurological problem/psychiatric condition*,,String
ivp_a3_family_history,sib3pdx,6c5. Sibling 3 - Primary Dx**,,String
ivp_a3_family_history,sib3moe,6c6. Sibling 3 - Method of evaluation***,,String
ivp_a3_family_history,sib3ago,6c7. Sibling 3 - Age of onset,,String
ivp_a3_family_history,note_a3_7,<hr>Sibling 4,,
ivp_a3_family_history,sib4mob,6d1. Sibling 4 - Birth month,,String
ivp_a3_family_history,sib4yob,6d3. Sibling 4 - Birht Year,,Datetime
ivp_a3_family_history,sib4agd,6d3. Sibling 4 - Age at death,,String
ivp_a3_family_history,sib4neu,6d4. Sibling 4 - Primary neurological problem/psychiatric condition*,,String
ivp_a3_family_history,sib4pdx,6d5. Sibling 4 - Primary Dx**,,String
ivp_a3_family_history,sib4moe,6d6. Sibling 4 - Method of evaluation***,,String
ivp_a3_family_history,sib4ago,6d7. Sibling 4 - Age of onset,,String
ivp_a3_family_history,note_a3_8,<hr>Sibling 5,,
ivp_a3_family_history,sib5mob,6e1. Sibling 5 - Birth month,,String
ivp_a3_family_history,sib5yob,6e2. Sibling 5 - Birth Year,,Datetime
ivp_a3_family_history,sib5agd,6e3. Sibling 5 - Age at death,,String
ivp_a3_family_history,sib5neu,6e4. Sibling 5 - Primary neurological problem/psychiatric condition*,,String
ivp_a3_family_history,sib5pdx,6e5. Sibling 5 - Primary Dx**,,String
ivp_a3_family_history,sib5moe,6e6. Sibling 5 - Method of evaluation***,,String
ivp_a3_family_history,sib5ago,6e7. Sibling 5 - Age of onset,,String
ivp_a3_family_history,note_a3_9,<hr>Sibling 6,,
ivp_a3_family_history,sib6mob,6f1. Sibling 6 - Birth month,,String
ivp_a3_family_history,sib6yob,6f2. sibling 6 - Birth Year,,Datetime
ivp_a3_family_history,sib6agd,6f3. Sibling 6 - Age at death,,String
ivp_a3_family_history,sib6neu,6f4. Sibling 6 - Primary neurological problem/psychiatric condition*,,String
ivp_a3_family_history,sib6pdx,6f5. Sibling 6 - Primary Dx**,,String
ivp_a3_family_history,sib6moe,6f6. Sibling 6 - Method of evaluation***,,String
ivp_a3_family_history,sib6ago,6f7. Sibling 6 - Age of onset,,String
ivp_a3_family_history,note_a3_10,<hr>Sibling 7,,
ivp_a3_family_history,sib7mob,6g1. Sibling 7 - Birth month,,String
ivp_a3_family_history,sib7yob,6g2. Sibling 7 - Birth Year,,Datetime
ivp_a3_family_history,sib7agd,6g3. Sibling 7 - Age at death,,String
ivp_a3_family_history,sib7neu,6g4. Sibling 7 - Primary neurological problem/psychiatric condition*,,String
ivp_a3_family_history,sib7pdx,6g5. Sibling 7 - Primary Dx**,,String
ivp_a3_family_history,sib7moe,6g6. Sibling 7 - Method of evaluation***,,String
ivp_a3_family_history,sib7ago,6g7. Sibling 7 - Age of onset,,String
ivp_a3_family_history,note_a3_11,<hr>Sibling 8,,
ivp_a3_family_history,sib8mob,6h1. Sibling 8 - Birth month,,String
ivp_a3_family_history,sib8yob,6h2. Sibling 8 - Birth Year,,Datetime
